now,messages,Hex_Code,Aircraft_Type,Flight_Number,Registration,t,Barometric_Altitude,Geometric_Altitude,Ground_Speed,track,geom_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,nav_modes,Latitude,Longitude,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,baro_rate,true_heading,dbFlags,nav_altitude_fms,calc_track,mag_heading,ias,tas,mach,wd,ws,oat,tat,track_rate,roll,gpsOkBefore,gpsOkLat,gpsOkLon,rr_lat,rr_lon,lastPosition.lat,lastPosition.lon,lastPosition.nic,lastPosition.rc,lastPosition.seen_pos
1704067199.122,148041829,a07862,tisb_icao,N1296Y  ,N1296Y,C208,700,700.0,103.6,96.1,-320.0,1200,none,A1,1003.2,896.0,106.88,[],60.769226,-161.861383,0.0,0.0,0.376,2.0,1.0,0.0,0.0,0.0,perhour,2.0,2.0,0.0,0.0,[],"['callsign', 'altitude', 'gs', 'track', 'geom_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",9591016,0.4,0.0,-512.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a5e678,adsr_icao,N48CF   ,N48CF,C207,1275,950.0,108.0,179.47,,1200,none,A1,,,,,60.56424,-161.853143,0.0,0.0,0.079,,,,0.0,,perhour,,,0.0,0.0,[],[],1813317,0.1,-8.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a81992,adsr_icao,TUD07H  ,N6207H,C207,ground,,1.9,,,1200,none,A1,,,,,60.782249,-161.840144,0.0,0.0,1.077,,,,,,,,,,,[],[],3891406,0.1,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a01471,adsb_icao,N104K   ,N104K,C207,400,175.0,65.9,22.29,-640.0,1200,none,A1,,,,,60.771652,-161.839315,9.0,75.0,0.14300000000000002,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['baro_rate'],7504390,0.1,-1.8,-640.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a38398,adsb_icao,N3252Y  ,N3252Y,C208,ground,,18.5,,,1200,none,A1,,,,,60.786248,-161.83315,9.0,75.0,0.14300000000000002,2.0,,10.0,2.0,3.0,perhour,,2.0,,,[],[],9113143,0.1,-22.0,,202.5,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a00f60,adsb_icao,N1026V  ,N1026V,C208,ground,,3.2,,,1200,none,A1,,,,,60.788372,-161.832378,9.0,75.0,57.445,2.0,,,,,perhour,,,,,[],[],4256848,57.4,-17.9,,11.25,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,ac991e,adsr_icao,REN002  ,N91002,C207,,575.0,81.9,61.56,,1200,none,A1,,,,,60.793808,-161.820942,0.0,0.0,0.681,,,,0.0,,perhour,,,0.0,0.0,[],[],2365337,0.7000000000000001,-1.2,576.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,86ebfa,adsb_icao,ANA185  ,JA888A,B789,31975,33900.0,436.1,268.82,64.0,3741,none,A5,1012.8,32000.0,258.05,"['autopilot', 'vnav', 'lnav', 'tcas']",21.263947,-160.21597,8.0,186.0,0.006,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],34363372,0.0,-23.1,,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,861f88,adsb_icao,JAL67   ,JA619J,B763,36000,34050.0,429.3,272.27,,3570,none,A5,1013.6,36000.0,255.23,,57.993474,-159.669891,8.0,186.0,0.681,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],25858019,0.1,-27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,ab38c6,adsr_icao,VFR     ,N822F,R44,2600,2900.0,105.6,307.3,-448.0,,,A1,,,,,22.071813,-159.638875,0.0,0.0,6.132,,0.0,8.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],1012187,6.1,-20.3,,,,,,,,,,,,,,,,,,,,,,,,,
